"female","age","race","hispanic","education","income","log_income"
1,50,"White",0,"Some college",40000,10.5966347330961
0,95,"White",1,"No HS",15500,9.64859530290734
1,70,"White",0,"4+ years college",11100,9.31470038730042
1,56,"White",1,"Some college",32700,10.3951303568853
0,21,"White",1,"HS",29200,10.2819239882564
1,66,"Black/African American/Negro",0,"HS",11600,9.35876037709446
0,73,"White",0,"Some HS",16600,9.71715797434464
1,86,"Japanese",0,"HS",18800,9.84161214881804
1,68,"Black/African American/Negro",0,"4+ years college",8500,9.04782144247841
1,55,"Other Asian or Pacific Islander",0,"4+ years college",60000,11.0020998412042
1,82,"Black/African American/Negro",0,"Some college",14400,9.57498348556409
1,46,"White",0,"HS",45700,10.7298535768823
1,71,"White",0,"HS",9290,9.13669383180788
0,54,"White",1,"HS",50000,10.8197782844103
1,43,"White",0,"Some college",25000,10.1266311038503
0,88,"White",0,"HS",18000,9.7981270368783
1,87,"White",1,"Some HS",11100,9.31470038730042
1,66,"Black/African American/Negro",1,"No HS",6400,8.76405326934776
0,40,"White",0,"Some college",3500,8.1605182474775
0,64,"Black/African American/Negro",0,"HS",48000,10.77895628989
1,32,"White",0,"HS",40000,10.5966347330961
1,40,"White",0,"Some college",19000,9.85219425814858
1,43,"Two major races",1,"Some college",55000,10.9150884642146
1,41,"White",0,"4+ years college",150000,11.9183905730784
0,53,"White",0,"HS",45000,10.7144177687525
1,69,"White",0,"HS",13500,9.51044496442652
0,23,"White",0,"Some college",18000,9.7981270368783
0,75,"White",0,"HS",42000,10.6454248972655
1,62,"White",0,"Some college",27000,10.2035921449865
0,34,"Other race, nec",1,"Some college",3000,8.00636756765025
0,81,"White",1,"No HS",29000,10.2750511089686
0,94,"Two major races",0,"4+ years college",5400,8.59415423255237
1,30,"White",0,"Some college",31000,10.3417424834673
1,74,"Japanese",0,"4+ years college",57400,10.9577995823077
0,37,"White",0,"Some college",37000,10.5186731916264
0,29,"White",0,"4+ years college",50000,10.8197782844103
0,61,"White",0,"4+ years college",140000,11.8493977015914
0,41,"White",0,"Some college",80000,11.289781913656
1,86,"Black/African American/Negro",0,"Some HS",22700,10.0301202034695
0,71,"Black/African American/Negro",0,"HS",38600,10.5610075554529
1,56,"White",1,"HS",22000,9.99879773234045
1,87,"White",0,"Some college",14550,9.58534627259964
