"male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","ever_smoked","ever_alcohol","ever_marijuana","ever_cocaine","delinquency_agg"
0,0,1,0,0,0,0,NA,55000,10.9151066458675,1,1,1,0,5
0,0,1,0,0,0,0,11,NA,NA,1,1,0,0,4
1,1,0,0,0,0,0,10,45000,10.7144399907278,1,0,0,0,1
1,0,1,0,0,0,0,12,9000,9.10509096125709,1,0,1,NA,4
0,0,1,0,0,0,0,12,2000,7.60140233458373,1,1,0,0,5
1,0,1,0,0,0,0,7,70000,11.1562648066437,0,0,0,0,1
1,0,1,0,0,0,0,7,50000,10.8197982842103,0,0,0,0,5
1,1,0,0,0,0,0,8,7000,8.8538082749772,1,1,1,0,8
1,0,1,0,0,0,0,8,10000,9.21044036697652,0,1,0,0,3
1,1,0,0,0,0,0,8,45000,10.7144399907278,0,0,0,0,4
1,0,1,0,0,0,0,9,32000,10.3735224312936,0,0,0,0,4
1,0,1,0,0,0,0,9,12000,9.39274525863144,1,0,0,0,1
1,1,0,0,0,0,0,9,49000,10.7995959850478,0,0,0,0,0
1,1,0,0,0,0,0,9,24000,10.0858507751287,1,0,1,0,6
0,0,1,0,0,0,0,7,40000,10.5966597327836,0,0,0,0,2
0,1,0,0,0,0,0,7,22000,9.99884318585288,1,0,0,0,1
0,1,0,0,0,0,0,10,110000,11.6082447356423,0,0,0,0,2
1,1,0,0,0,0,0,7,75000,11.2252567257629,0,0,0,0,1
1,0,0,0,0,1,1,11,NA,NA,1,1,1,0,1
0,1,0,0,0,0,0,12,NA,NA,1,1,0,0,2
0,1,0,0,0,0,0,10,1e+05,11.5129354649202,1,1,0,0,1
0,0,0,0,0,1,1,8,9000,9.10509096125709,1,1,1,0,9
0,1,0,0,0,0,0,10,72000,11.1844352867906,0,1,0,0,4
0,0,0,0,1,0,0,7,20000,9.90353755128617,0,1,0,0,0
1,0,1,0,0,0,0,7,27000,10.2036291813376,0,0,0,0,4
1,1,0,0,0,0,0,8,NA,NA,0,0,0,0,4
1,0,1,0,0,1,0,10,NA,NA,NA,0,0,0,0
1,1,0,0,0,0,1,10,2000,7.60140233458373,1,1,0,0,4
1,1,0,0,0,0,0,7,12000,9.39274525863144,1,0,0,0,0
0,1,0,0,0,0,0,7,1e+05,11.5129354649202,0,0,0,0,3
0,1,0,0,0,0,0,9,75000,11.2252567257629,0,1,0,0,0
0,0,1,0,0,0,0,7,20000,9.90353755128617,0,0,0,0,0
0,0,1,0,0,0,0,8,NA,NA,0,0,0,0,1
0,1,0,0,0,0,0,8,27000,10.2036291813376,1,1,1,0,6
0,0,0,0,1,0,0,9,26000,10.1658902778025,1,1,1,0,2
1,1,0,0,0,0,0,9,50000,10.8197982842103,1,1,1,0,9
1,1,0,0,0,0,0,7,1e+05,11.5129354649202,0,1,0,0,4
1,1,0,0,0,0,0,9,35000,10.463131911492,1,0,0,0,1
0,0,0,0,0,1,1,7,20000,9.90353755128617,0,0,0,0,0
0,0,0,1,0,0,1,7,NA,NA,1,1,0,0,2
1,0,1,0,0,0,0,11,10000,9.21044036697652,0,0,0,0,0
0,0,0,0,1,0,0,9,70000,11.1562648066437,0,0,0,0,1
1,1,0,0,0,0,0,9,30000,10.3089859934221,1,1,0,0,4
1,0,1,0,0,0,0,11,NA,NA,0,0,0,0,2
1,0,0,1,0,1,1,7,58000,10.9682155307592,1,1,0,0,6
1,1,1,1,0,1,1,10,10000,9.21044036697652,1,1,0,0,4
1,1,0,0,0,0,0,11,20000,9.90353755128617,1,1,0,0,1
0,1,0,0,0,0,0,NA,NA,NA,1,1,1,0,1
0,1,1,1,0,0,0,7,14000,9.54688403461792,1,0,0,0,3
1,1,0,0,0,0,0,8,18000,9.7981825908907,0,0,1,1,1
1,1,0,0,0,0,0,8,43000,10.6689786502192,1,1,1,0,8
1,0,0,0,1,0,0,7,36000,10.4913019948302,0,0,0,0,2
0,1,0,0,0,0,0,10,140000,11.8494048444231,1,1,1,0,7
1,1,0,0,0,0,0,11,20000,9.90353755128617,1,1,1,0,4
1,1,0,0,0,0,0,11,30000,10.3089859934221,1,1,0,0,5
0,1,0,0,0,0,0,9,90000,11.4075760603618,1,0,0,0,0
1,0,0,0,1,0,0,8,50000,10.8197982842103,1,0,1,0,6
1,0,0,0,1,0,0,9,NA,NA,0,0,0,0,6
0,1,0,0,0,0,0,10,NA,NA,0,1,0,0,4
1,0,1,0,0,0,0,12,40000,10.5966597327836,1,1,1,0,4
1,1,0,0,0,0,0,7,NA,NA,1,1,1,0,3
1,0,1,0,0,0,0,9,NA,NA,0,0,0,0,7
1,0,1,0,0,0,0,7,45000,10.7144399907278,0,0,0,0,0
1,1,0,0,0,0,0,8,25000,10.1266711030504,0,0,0,0,3
1,1,0,0,0,0,0,10,14000,9.54688403461792,0,1,0,0,1
0,0,1,0,0,0,0,11,NA,NA,1,1,0,0,2
1,1,0,0,0,0,0,8,65000,11.0821579333748,0,0,0,0,1
1,1,0,0,0,0,0,10,51000,10.8396005193574,1,1,0,0,1
1,1,0,0,0,0,0,7,32000,10.3735224312936,0,0,0,0,2
