"male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","hours_tv","hours_videos","hours_games","hours_radio"
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,55000,10.9151066458675,8,15,0,99
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,NA,NA,33,4,0,2
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,45000,10.7144399907278,20,0,0,40
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,9000,9.10509096125709,24,6,7,7
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,2000,7.60140233458373,5,0,0,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,70000,11.1562648066437,14,0,0,14
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,50000,10.8197982842103,12,2,5,0
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,7000,8.8538082749772,14,7,3,21
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,10000,9.21044036697652,30,2,0,2
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,45000,10.7144399907278,35,12,2,7
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,32000,10.3735224312936,6,1,3,1
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,12000,9.39274525863144,10,5,4,1
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,49000,10.7995959850478,12,2,2,10
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,24000,10.0858507751287,0,0,0,50
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,40000,10.5966597327836,21,0,2,56
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,22000,9.99884318585288,7,5,2,3
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,110000,11.6082447356423,14,8,0,4
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,75000,11.2252567257629,10,1,1,4
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,11,NA,NA,10,2,5,30
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,NA,NA,15,0,0,50
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,1e+05,11.5129354649202,10,0,0,30
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,8,9000,9.10509096125709,4,0,0,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,72000,11.1844352867906,20,15,0,10
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,20000,9.90353755128617,56,0,0,48
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,27000,10.2036291813376,77,6,6,12
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,30,20,20,0
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10,NA,NA,2,0,0,0
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,10,2000,7.60140233458373,15,18,10,10
