"student_id","teacher_id","class_type","class_size","born","female","race_ethnicity","re_white","re_black","re_asian","re_hispanic","re_native_american","re_other","reading_score","math_score","listening_score"
1,1,3,23,1979.058,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,516,578,601
2,2,2,22,1980.404,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,451,507,584
3,3,2,21,1979.307,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,483,526,529
4,4,3,21,1980.322,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,516,505,556
5,4,3,21,1978.416,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,433,463,504
6,5,3,29,1980.648,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,444,542,543
7,6,1,17,1980.82,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,471,444,496
8,7,1,15,1979.038,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,487,484,531
9,8,2,22,1979.134,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,503,505,541
10,9,3,21,1980.178,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,524,515,565
11,10,2,24,1979.863,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,457,497,568
12,11,2,23,1979.89,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,430,486,556
13,12,2,24,1979.521,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,503,538,565
14,7,1,15,1979.562,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,501,NA,NA
15,13,1,14,1980.724,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,590,578,580
16,14,3,25,1980.09,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,478,572,551
17,15,3,23,1980.552,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,527,481,556
18,16,1,18,1980.301,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,454,523,559
19,17,2,16,1979.781,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,471,523,538
20,18,3,21,1979.915,FALSE,"Hispanic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,564,549,NA
21,19,3,27,1979.921,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,564,520,606
22,11,2,23,1980.418,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,558,512,577
23,20,3,26,1980.292,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,558,567,574
24,21,3,27,1980.292,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,558,567,571
25,4,3,21,1979.674,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,444,497,534
26,22,2,23,1980.656,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,482,520,538
27,3,2,21,1979.745,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,448,518,568
28,23,3,25,1977.978,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,514,612,568
29,24,2,27,1978.896,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,592,685
30,25,3,24,1979.288,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,507,468,543
31,26,3,23,1979.375,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,540,553,596
32,25,3,24,1979.578,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,530,507,574
33,27,1,14,1979.433,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,501,557,592
34,28,3,21,1980.038,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,521,518,565
35,29,3,24,1980.35,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,571,601,606
36,25,3,24,1980.415,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,548,502,548
37,30,1,13,1980.596,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,451,529,571
38,31,3,26,1980.694,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,509,553,611
39,10,2,24,1980.738,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,509,523,538
